"Name","Category","Vegetarian","Vegan","Wheat","Rye","Barley","Oat","Gluten","Soya","Egg","Milk","Fish","Crustacean","Mollusc","Sulphite","Sesame","Celery","Mustard","Peanut","Lupin","Tree Nuts"
"Cappuccino - Made With Soya Milk - Massimo Takeaway","Cappuccino","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Caffe Latte- Made With Skimmed Milk-Primo Drink In","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Skimmed Milk-Primo Takeaway","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Skimmed Milk-Medio Drink In","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Skimmed Milk-Medio Takeaway","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Skimmed Milk-Massimo Drink In","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Skimmed Milk-Massimo Takeaway","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Whole Milk-Primo Drink In","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Whole Milk-Primo Takeaway","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Whole Milk-Medio Drink In","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Whole Milk-Medio Takeaway","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Whole Milk-Massimo Drink In","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Whole Milk-Massimo Takeaway","Caffe Latte","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Caffe Latte- Made With Soya Milk-Primo Drink In","Caffe Latte","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Caffe Latte- Made With Soya Milk-Primo Takeaway","Caffe Latte","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Caffe Latte- Made With Soya Milk-Medio Drink In","Caffe Latte","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Caffe Latte- Made With Soya Milk-Medio Takeaway","Caffe Latte","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Caffe Latte- Made With Soya Milk-Massimo Drink In","Caffe Latte","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Caffe Latte- Made With Soya Milk-Massimo Takeaway","Caffe Latte","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Americano - Made With No Milk – Primo Both","Americano","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Americano - Made With No Milk – Medio Both","Americano","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Americano - Made With No Milk – Massimo Both","Americano","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
